10
testcase10 305
196 107
0 E 8
0 F 12
0 G 17
1 E 5
1 F 9
1 G 14
10 A 29
10 B 45
10 C 52
10 D 57
10 E 62
10 F 66
10 G 71
11 A 35
11 B 47
11 C 52
11 D 57
11 E 62
11 F 66
11 G 71
12 A 43
12 B 46
12 C 52
12 D 57
12 E 62
12 F 66
12 G 71
13 A 31
13 B 40
13 C 45
13 D 50
13 E 55
13 F 59
13 G 64
14 A 37
14 B 40
14 C 48
14 D 53
14 E 58
14 F 62
14 G 68
15 A 68
15 B 71
15 C 79
15 D 85
15 E 90
15 F 94
15 G 99
16 A 70
16 B 73
16 C 78
16 D 83
16 E 88
16 F 92
16 G 97
17 A 77
17 B 82
17 C 87
17 D 94
17 E 99
17 F 105
17 G 110
18 A 116
19 A 86
19 B 93
19 C 98
19 D 105
19 E 110
19 F 114
19 G 119
2 D 6
2 E 16
2 F 20
2 G 26
20 A 86
20 B 91
20 C 99
20 D 104
20 E 109
20 F 113
20 G 118
21 A 110
22 H 22
22 G 28
22 F 33
22 E 37
22 D 42
22 C 47
22 B 52
23 H 9
23 G 28
23 F 40
23 E 46
23 D 51
23 C 56
23 B 63
24 H 38
24 G 46
24 F 51
24 E 56
24 D 61
24 C 66
24 B 72
25 H 43
25 G 48
25 F 53
25 E 57
25 D 62
25 C 67
25 B 72
26 H 33
26 G 38
26 F 44
26 E 48
26 D 53
26 C 58
26 B 63
27 H 72
27 G 80
27 F 92
27 E 97
27 D 104
27 C 109
27 B 118
28 H 74
28 G 82
28 F 88
28 E 104
28 D 109
28 C 114
28 B 119
29 H 84
29 G 89
29 F 94
29 E 98
29 D 103
29 C 108
29 B 113
3 E 6
3 F 13
3 G 21
30 H 84
30 G 90
30 F 97
30 E 101
30 D 106
30 C 111
30 B 116
31 H 87
31 G 101
31 F 106
31 E 112
31 D 118
32 H 83
32 G 93
32 F 99
32 E 103
32 D 109
32 C 114
32 B 119
34 H 113
4 E 1
4 D 8
4 C 13
4 B 21
5 F 8
5 E 12
5 D 20
